Vv_stef,2000,1000,gt-001
rank,node,Fabs,Frel,Class
177,VIT_10s0003g02120,1833,0.222884241245,??
178,VIT_14s0081g00120,1831,0.222424684159,??
179,VIT_12s0057g01060,1812,0.22119140625,??
180,VIT_07s0129g00070<br>VIT_07s0129g00150,1834,0.220751083293,??
181,VIT_02s0025g03150,1805,0.219800292255,??
182,VIT_06s0009g00580,1817,0.219762941461,??
183,VIT_16s0100g00670,1830,0.219635141623,??
184,VIT_13s0047g00360,1813,0.219279148524,??
185,VIT_14s0068g01520,1803,0.219129800681,??
186,VIT_11s0016g04840,1805,0.219053398058,??
187,VIT_04s0008g01030,1798,0.218098010674,??
188,VIT_07s0005g02240,1802,0.217948717949,??
189,VIT_00s2752g00010,1786,0.216852841185,??
190,VIT_15s0046g00500,1787,0.216343825666,??
191,VIT_18s0001g10830,1785,0.215997095837,??
192,VIT_17s0000g00130,1784,0.21598062954,??
193,VIT_16s0050g01980,1771,0.215660009742,??
194,VIT_12s0055g00810,1769,0.215626523647,??
195,VIT_15s0046g01790,1775,0.214891041162,??
196,VIT_08s0007g04950,1760,0.214320506576,??
197,VIT_05s0049g00300,1774,0.213734939759,??
198,VIT_07s0005g01670,1776,0.213666987488,??
199,VIT_10s0003g01960,1754,0.213485881207,??
200,VIT_17s0000g02260,1757,0.212711864407,??
201,VIT_00s0194g00330,1754,0.212451550388,??
202,VIT_19s0014g02330,1740,0.21147301896,??
203,VIT_18s0001g01680,1738,0.211024769305,??
204,VIT_01s0011g02960,1719,0.208111380145,??
205,VIT_15s0046g00680,1719,0.207809477756,??
206,VIT_14s0068g00260,1720,0.207729468599,??
207,VIT_10s0116g01870,1716,0.207446808511,??
208,VIT_18s0001g05950,1717,0.206967213115,??
209,VIT_15s0107g00380,1697,0.206850316919,??
210,VIT_13s0067g02340,1698,0.205668604651,??
211,VIT_17s0000g10260,1688,0.205352798054,??
212,VIT_01s0011g04710,1693,0.205261881668,??
213,VIT_06s0004g00230,1682,0.204822211398,??
214,VIT_18s0041g00810<br>VIT_18s0041g00910<br>VIT_00s1602g00010<br>VIT_18s0041g00920<br>VIT_18s0041g00980<br>VIT_18s0041g01000<br>VIT_00s2707g00010<br>VIT_18s0041g01080<br>VIT_18s0041g00950<br>VIT_18s0041g00830<br>VIT_18s0041g01040,1685,0.204291949564,??
215,VIT_08s0040g00230,1675,0.20406920078,??
216,VIT_05s0020g04680,1682,0.20353339787,??
217,VIT_05s0062g01140,1666,0.202380952381,??
218,VIT_10s0116g01580,1672,0.201737451737,??
219,VIT_14s0068g00160,1657,0.201483463035,??
220,VIT_01s0026g01140,1660,0.20145631068,??
221,VIT_03s0038g03230,1665,0.200989859971,??
222,VIT_02s0025g01730,1651,0.20036407767,??
223,VIT_12s0134g00670,1657,0.200217496375,??
224,VIT_11s0016g00580,1649,0.200024260068,??
225,VIT_08s0040g00520,1640,0.199902486592,??
226,VIT_13s0019g01520,1654,0.199855002417,??
227,VIT_03s0017g01660,1652,0.199420569773,??
228,VIT_16s0022g00370,1641,0.199344023324,??
229,VIT_13s0019g04940,1634,0.199074074074,??
230,VIT_11s0016g01300,1648,0.199033816425,??
231,VIT_00s0483g00040,1644,0.199031476998,??
232,VIT_07s0031g00520,1642,0.198789346247,??
233,VIT_06s0004g06090,1647,0.198625180897,??
234,VIT_11s0016g00290,1633,0.198275862069,??
235,VIT_04s0008g05500,1624,0.19795221843,??
236,VIT_13s0019g02940,1625,0.197592412451,??
237,VIT_08s0007g03980,1631,0.197171179884,??
238,VIT_04s0008g02250,1623,0.197157434402,??
239,VIT_18s0001g01760,1618,0.197028738432,??
240,VIT_00s0160g00220,1617,0.196428571429,??
241,VIT_02s0087g00470,1614,0.196254863813,??
242,VIT_04s0023g01910,1616,0.195831313621,??
243,VIT_05s0029g00510,1598,0.195354523227,??
244,VIT_04s0008g06300,1612,0.195346582647,??
245,VIT_18s0001g11100,1606,0.195187165775,??
246,VIT_09s0002g06310,1606,0.195092322643,??
247,VIT_04s0008g01800,1607,0.195024271845,??
248,VIT_14s0006g02080,1607,0.194929645803,??
249,VIT_18s0072g01170,1614,0.194927536232,??
250,VIT_00s0245g00050,1599,0.194904924427,??
251,VIT_11s0016g02490,1610,0.193975903614,??
252,VIT_08s0058g00140,1612,0.193936477382,??
253,VIT_05s0102g00880,1591,0.193835282651,??
254,VIT_03s0038g01300,1592,0.193673965937,??
255,VIT_09s0018g01650,1603,0.193505552873,??
256,VIT_16s0022g00720,1588,0.192999513855,??
257,VIT_03s0088g01150,1584,0.192607003891,??
258,VIT_15s0046g00630,1590,0.192400774443,??
259,VIT_07s0005g02480,1588,0.192251815981,??
260,VIT_04s0023g01300,1595,0.192168674699,??
261,VIT_02s0012g01680,1578,0.191411935953,??
262,VIT_08s0007g06680,1580,0.191283292978,??
263,VIT_00s0179g00110,1574,0.19083414161,??
264,VIT_13s0106g00250,1567,0.190818314661,??
265,VIT_14s0006g02530,1573,0.190712900097,??
266,VIT_04s0008g05960,1570,0.189888727625,??
267,VIT_00s0456g00040<br>VIT_00s0374g00030,1568,0.189830508475,??
268,VIT_08s0058g01260,1559,0.189659367397,??
269,VIT_06s0004g06690,1560,0.189412336085,??
270,VIT_05s0077g01330,1571,0.189277108434,??
271,VIT_00s0409g00020,1557,0.189048081593,??
272,VIT_09s0018g01340<br>VIT_09s0018g01360,1556,0.188651794374,??
273,VIT_15s0046g02410,1553,0.188014527845,??
274,VIT_14s0066g01730,1544,0.187651920272,??
275,VIT_05s0077g02300,1542,0.1875,??
276,VIT_17s0000g06130,1544,0.186924939467,??
277,VIT_17s0000g03110,1533,0.186678032148,??
278,VIT_06s0004g06890,1552,0.186538461538,??
279,VIT_11s0118g00180,1528,0.184451955577,??
280,VIT_18s0001g10270,1509,0.184204101562,??
281,VIT_19s0090g00840,1519,0.183898305085,??
282,VIT_16s0050g00870,1515,0.18359185652,??
283,VIT_10s0003g05690,1511,0.183462846042,??
284,VIT_12s0055g01140,1511,0.183107125545,??
285,VIT_19s0015g00740,1512,0.182785299807,??
286,VIT_18s0001g12000,1498,0.182593856655,??
287,VIT_05s0077g01460,1509,0.182422630561,??
288,VIT_11s0016g05230,1493,0.181630170316,??
289,VIT_17s0000g03940,1490,0.181618722574,??
290,VIT_01s0010g02370,1493,0.181189320388,??
291,VIT_12s0059g01190,1490,0.181000971817,??
292,VIT_04s0008g02870,1479,0.179839494163,??
293,VIT_16s0098g01560,1474,0.179406037001,??
294,VIT_16s0098g01160,1469,0.179058995612,??
295,VIT_01s0011g03640,1480,0.178916827853,??
296,VIT_08s0040g02820,1464,0.178188899708,??
297,VIT_05s0077g00670,1460,0.178048780488,??
298,VIT_17s0000g02550,1472,0.178035800677,??
299,VIT_16s0050g02390,1472,0.178035800677,??
300,VIT_11s0016g01310,1465,0.177704997574,??
301,VIT_12s0059g02420,1464,0.177583697234,??
302,VIT_11s0037g01400,1459,0.177149101506,??
303,VIT_03s0097g00460,1460,0.176841085271,??
304,VIT_00s0194g00340,1455,0.176577669903,??
305,VIT_03s0088g00410,1464,0.176555716353,??
306,VIT_12s0028g02400,1462,0.176484789957,??
307,VIT_09s0002g03940,1470,0.176343570058,??
308,VIT_08s0007g01750,1464,0.176300578035,??
309,VIT_11s0016g03880,1451,0.17609223301,??
310,VIT_09s0002g02980,1452,0.175957343674,??
311,VIT_13s0019g02810,1457,0.175542168675,??
312,VIT_07s0151g00570,1440,0.175353141744,??
313,VIT_06s0061g00890,1444,0.175242718447,??
314,VIT_03s0038g02480,1439,0.17480563654,??
315,VIT_05s0020g04670,1446,0.174384949349,??
316,VIT_17s0000g00120,1444,0.174143753015,??
317,VIT_02s0033g01060,1428,0.172965116279,??
318,VIT_18s0166g00080,1413,0.172401171303,??
319,VIT_07s0151g00010,1409,0.171661793372,??
320,VIT_03s0017g01130,1411,0.171571011673,??
321,VIT_18s0001g14660,1415,0.171473582162,??
322,VIT_18s0001g12900,1416,0.171428571429,??
323,VIT_01s0026g00880,1413,0.171231216675,??
324,VIT_12s0034g02560,1416,0.171014492754,??
325,VIT_00s0270g00030,1406,0.170300387597,??
326,VIT_02s0012g02030,1407,0.170174165457,??
327,VIT_02s0025g03710,1411,0.169591346154,??
328,VIT_00s1355g00010,1397,0.169538834951,??
329,VIT_00s0375g00030,1405,0.169522200772,??
330,VIT_17s0000g09270,1410,0.169308357349,??
331,VIT_08s0007g03360,1398,0.16892218463,??
332,VIT_00s0516g00010,1393,0.168725775194,??
333,VIT_14s0030g00080,1389,0.16824127907,??
334,VIT_07s0005g04380,1384,0.167798254122,??
335,VIT_08s0007g04330,1389,0.16734939759,??
