Vv_stef 2000 1000 gt-001
rank,x,y,Fabs,Frel,intra
138,vit_14s0081g00120,vit_14s0108g01080,1831,0.889698736638,False
139,vit_14s0066g00400,vit_14s0108g01080,1831,0.88754241396,False
140,vit_04s0008g05440,vit_14s0066g00300,1824,0.886728245017,False
141,vit_09s0002g06750,vit_12s0057g01060,1812,0.884765625,False
142,vit_07s0129g00070<br>vit_07s0129g00150,vit_14s0108g01080,1834,0.883004333173,False
143,vit_07s0031g01270,vit_14s0108g01080,1824,0.882865440465,False
144,vit_02s0025g03150,vit_11s0016g05340,1805,0.879201169021,False
145,vit_06s0009g00580,vit_14s0108g01080,1817,0.879051765844,False
146,vit_10s0003g05420,vit_14s0108g01080,1799,0.878847093307,False
147,vit_04s0008g05440,vit_16s0100g00670,1830,0.878540566491,False
148,vit_09s0002g06750,vit_13s0047g00360,1813,0.877116594098,False
149,vit_11s0016g04840,vit_11s0016g05340,1805,0.876213592233,False
150,vit_04s0008g01030,vit_14s0108g01080,1798,0.872392042698,False
151,vit_04s0008g05440,vit_07s0005g02240,1802,0.871794871795,False
152,vit_01s0026g00080,vit_11s0016g05340,1785,0.871156661786,False
153,vit_08s0007g09000,vit_09s0002g06750,1795,0.870092098885,False
154,vit_00s2752g00010,vit_14s0108g01080,1786,0.86741136474,False
155,vit_05s0049g01400,vit_14s0108g01080,1782,0.866310160428,False
156,vit_11s0016g05340,vit_15s0046g00500,1787,0.865375302663,False
157,vit_00s0225g00070,vit_11s0016g05340,1797,0.865190178142,False
158,vit_04s0008g05440,vit_12s0055g00810,1769,0.862506094588,False
159,vit_01s0010g00710,vit_11s0016g05340,1777,0.860532687651,False
160,vit_11s0016g05340,vit_15s0046g01790,1775,0.859564164649,False
161,vit_10s0092g00150,vit_11s0016g05340,1762,0.859512195122,False
162,vit_08s0007g04950,vit_11s0016g05340,1760,0.857282026303,False
163,vit_04s0008g05440,vit_06s0080g00760,1757,0.85498783455,False
164,vit_13s0019g02880,vit_14s0108g01080,1762,0.854510184287,False
165,vit_04s0008g05440,vit_07s0031g01680,1756,0.854085603113,False
166,vit_10s0003g01960,vit_11s0016g05340,1754,0.85394352483,False
167,vit_09s0002g03130,vit_09s0002g06750,1748,0.852682926829,False
168,vit_04s0043g00560,vit_14s0108g01080,1755,0.851528384279,False
169,vit_11s0016g05340,vit_17s0000g02260,1757,0.850847457627,False
170,vit_00s0194g00330,vit_11s0016g05340,1754,0.84980620155,False
171,vit_09s0002g06750,vit_18s0001g10060,1743,0.84693877551,False
172,vit_09s0002g06750,vit_19s0014g02330,1740,0.845892075839,False
173,vit_05s0062g00820,vit_11s0016g05340,1739,0.844174757282,False
174,vit_11s0016g05340,vit_18s0001g01680,1738,0.844099077222,False
175,vit_13s0067g00730,vit_14s0108g01080,1732,0.836714975845,False
176,vit_04s0008g05440,vit_14s0006g02290,1737,0.835497835498,False
177,vit_09s0002g06750,vit_14s0068g01520,1716,0.83422459893,False
178,vit_01s0011g02960,vit_14s0108g01080,1719,0.832445520581,False
179,vit_09s0002g06750,vit_15s0046g00680,1719,0.831237911025,False
180,vit_14s0068g00260,vit_14s0108g01080,1720,0.830917874396,False
181,vit_09s0002g06750,vit_11s0037g00320,1709,0.828806983511,False
